
   	People QuickFacts	New York	New York
 	Population, 2012 estimate    	8,336,697	19,576,125
 	Population, 2010 (April 1) estimates base    	8,175,136	19,378,105
 	Population, percent change, April 1, 2010 to July 1, 2012    	2.0%	1.0%
 	Population, 2010    	8,175,133	19,378,102
 	Persons under 5 years, percent, 2010    	6.3%	6.0%
 	Persons under 18 years, percent, 2010    	21.6%	22.3%
 	Persons 65 years and over, percent,  2010    	12.1%	13.5%
 	Female persons, percent, 2010    	52.5%	51.6% 			
 	White alone, percent, 2010 (a)    	44.0%	65.7%
 	Black or African American alone, percent, 2010 (a)    	25.5%	15.9%
 	American Indian and Alaska Native alone, percent, 2010 (a)    	0.7%	0.6%
 	Asian alone, percent, 2010 (a)    	12.7%	7.3%
 	Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    	0.1%	0.0%
 	Two or More Races, percent, 2010    	4.0%	3.0%
 	Hispanic or Latino, percent, 2010 (b)    	28.6%	17.6%
 	White alone, not Hispanic or Latino, percent, 2010    	33.3%	58.3% 			
 	Living in same house 1 year & over, percent, 2008-2012    	88.8%	88.7%
 	Foreign born persons, percent, 2008-2012    	36.9%	22.0%
 	Language other than English spoken at home, pct age 5+, 2008-2012    	48.7%	29.8%
 	High school graduate or higher, percent of persons age 25+, 2008-2012    	79.4%	84.9%
 	Bachelor's degree or higher, percent of persons age 25+, 2008-2012    	34.0%	32.8%
 	Veterans, 2008-2012    	216,098	957,004
 	Mean travel time to work (minutes), workers age 16+, 2008-2012    	39.1	31.5
 	Housing units, 2010    	3,371,062	8,108,103
 	Homeownership rate, 2008-2012    	32.3%	54.5%
 	Housing units in multi-unit structures, percent, 2008-2012    	83.6%	50.5%
 	Median value of owner-occupied housing units, 2008-2012    	$501,500	$295,300
 	Households, 2008-2012    	3,063,393	7,230,896
 	Persons per household, 2008-2012    	2.62	2.60
 	Per capita money income in past 12 months (2012 dollars), 2008-2012    	$31,661	$32,104
 	Median household income, 2008-2012    	$51,865	$57,683
 	Persons below poverty level, percent, 2008-2012    	19.9%	14.9%

   	Business QuickFacts	New York	New York
 	Total number of firms, 2007    	944,129	1,956,733
 	Black-owned firms, percent, 2007    	16.4%	10.4%
 	American Indian- and Alaska Native-owned firms, percent, 2007    	0.9%	0.7%
 	Asian-owned firms, percent, 2007    	16.3%	10.1%
 	Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    	0.1%	0.1%
 	Hispanic-owned firms, percent, 2007    	15.1%	9.9%
 	Women-owned firms, percent, 2007    	32.3%	30.4% 			
 	Manufacturers shipments, 2007 ($1000)    	20,411,572	162,720,173
 	Merchant wholesaler sales, 2007 ($1000)    	147,227,987	313,461,904
 	Retail sales, 2007 ($1000)    	78,206,482	230,718,065
 	Retail sales per capita, 2007    	$9,411	$11,879
 	Accommodation and food services sales, 2007 ($1000)    	22,095,094	39,813,499

   	Geography QuickFacts	New York	New York
 	Land area in square miles, 2010    	302.64	47,126.40
 	Persons per square mile, 2010    	27,012.5	411.2
 	FIPS Code    	51000	36
 	Counties    	Bronx County (Bronx Borough)
 Kings County (Brooklyn Borough)
 New York County (Manhattan Borough)
 Queens County (Queens Borough)
 Richmond County (Staten Island Borough)
 	

(a) Includes persons reporting only one race.
(b) Hispanics may be of any race, so also are included in applicable race categories.

FN: Footnote on this item for this area in place of data
NA: Not available
D: Suppressed to avoid disclosure of confidential information
X: Not applicable
S: Suppressed; does not meet publication standards
Z: Value greater than zero but less than half unit of measure shown
F: Fewer than 100 firms

Source: US Census Bureau State & County QuickFacts
